id,word,pronounciation,english_meaning,vietnamese_meaning,synonyms,example
148,slick,&nbsp;/slɪk/,done or made in a way that is clever and efficient but often does not seem to be sincere or lacks important ideas,"tài tình, khéo léo, có điều đôi khi không trung thực hoặc thiếu sâu sắc",,a slick advertising campaign a slick performance It's that sort of slick sales talk that I mistrust.
149,inevitable,/ɪnˈevɪtəbl/,that you cannot avoid or prevent,"không thể tránh được, chắc chắn xảy ra, bất khả kháng",unavoidable,It was an inevitable consequence of the decision. It was inevitable that there would be job losses. A rise in the interest rates seems inevitable.
150,assure,&nbsp;/əˈʃʊr/,"to tell somebody that something is definitely true or is definitely going to happen, especially when they have doubts about it","làm cho vững tâm, làm cho tin chắc, quả quyết, cam đoan",,"You think I did it deliberately, but I assure you (that) I did not. We were assured that everything possible was being done."
151,cultivate,/ˈkʌltɪveɪt/,to nurture and help grow,"cày cấy, trồng trọt / trau dồi, tu dưỡng (trí tuệ... )",,The land around here has never been cultivated. He purposely tried to cultivate good relations with the press.
152,entice,/ɪnˈtaɪs/,to persuade someone to do something by offering them something pleasant,"dụ dỗ, cám dỗ, lôi kéo, nhử vào bẫy",,The adverts entice the customer into buying things they don't really want. People are being enticed away from the profession by higher salaries elsewhere. A smell of coffee in the doorway enticed people to enter the shop.
153,induce,&nbsp;/ɪnˈduːs/,(formal) to persuade or influence somebody to do something,"<i>(xui, xui khiến, tác động khiến ai đó làm việc gì đấy)</i>",,Nothing would induce me to take the job. drugs which induce sleep a drug-induced coma
154,oblige,/əˈblaɪdʒ/,"to force someone to do something, or to make it necessary for someone to do something","bắt buộc, cưỡng bách; đặt nghĩa vụ cho",,The law obliges companies to pay decent wages to their employees. The law does not obligate sellers to accept the highest offer.
155,pressurise,&nbsp;/ˈpreʃəraɪz/,"to strongly persuade someone to do something they do not want to do, by making them feel that they have to or should do it",tao áp lực để thuyết phục ai đó làm gì đấy,,Stop trying to pressurize me! She was pressurized into accepting the job. She was pressurized into getting married.
156,reassure,/ˌriːəˈʃʊr/,to say or do something that makes somebody less frightened or worried,"trấn an, làm ai đó bớt lo lắng",,"They tried to reassure her, but she still felt anxious. The doctor reassured him that there was nothing seriously wrong."
157,tempt,&nbsp;/tempt/,"to attract somebody or make somebody want to do or have something, even if they know it is wrong","cám dỗ, quyến rũ, nhử, làm thèm, gợi thèm",,I was tempted by the dessert menu. Don't tempt thieves by leaving valuables clearly visible. I was tempted to take the day off.
158,urge,&nbsp;/ɜːrdʒ/,to strongly advise or try to persuade someone to do a particular thing,"thúc, thúc giục, giục giã /&nbsp;cố nài, cố gắng thuyết phục",,She urged him to stay. Police are urging anyone who saw the accident to contact them immediately.
159,breathtaking,/ˈbreθteɪkɪŋ/&nbsp;,"extremely exciting, beautiful, or surprising","vô cùng hấp dẫn, ngoạn mục, bất ngờ",,a breathtaking view of the mountains The scene was one of breathtaking beauty.
160,charming,/ˈtʃɑːrmɪŋ/,very pleasant or attractive,"đẹp, duyên dáng, yêu kiều; có sức quyến rũ, làm say mê, làm mê mẩn",,"The cottage is tiny, but it's charming. She's a charming person. What a charming name."
161,comfortable,/ˈkʌmftəbl/,,"dễ chịu, thoải mái, khoan khoái",,It's such a comfortable bed. These new shoes are not very comfortable. Please make yourself comfortable while I get some coffee.
162,dramatic,/drəˈmætɪk/,"(of a change, an event, etc.) sudden, very great and often surprising exciting and impressive (kịch tích, gay cấn) exaggerated in order to create a special effect and attract people’s attention (cường điệu hóa để thu hút sự chú ý)",đột ngột,,a dramatic increase/fall/change/improvement a dramatic victory He flung out his arms in a dramatic gesture. Don't be so dramatic!
163,magnificent,/mæɡˈnɪfɪsnt/,extremely attractive and impressive; deserving praise,"tráng lệ, nguy nga, lộng lẫy, ấn tượng, cừ khôi",,The Taj Mahal is a magnificent building. She looked magnificent in her wedding dress. You've all done a magnificent job.
164,memorable,/ˈmemərəbl/,"special, good or unusual and therefore worth remembering or easy to remember","đáng ghi nhớ, không thể quên được",,a truly memorable occasion The city is memorable for its fantastic beaches. Her novels are full of memorable characters.
165,mountainous,/ˈmaʊntənəs/,having many mountains,"có núi, lắm núi",,a mountainous region/terrain
166,precarious,/prɪˈkerəriəs/,(of a situation) not safe or certain; dangerous,"không chắc chắn, bấp bênh, mong manh; hiểm nghèo, gieo neo",,He earned a precarious living as an artist. The museum is in a financially precarious position. The world is a precarious and unstable place. They have a somewhat precarious existence.
167,remote,/rɪˈmoʊt/,far away from places where other people live,"xa xôi, hẻo lánh, cách biệt",,a remote beach one of the remotest areas of the world
168,rustic,/ˈrʌstɪk/,simple and often rough in appearance; typical of the countryside,"mộc mạc, quê mùa; đậm chất thôn quê",,an old cottage full of rustic charm a rustic garden seat a rustic fence
169,spectacular,&nbsp;/spekˈtækjələr/,very impressive,"đẹp mắt, ngoạn mục",breathtaking,spectacular scenery Messi scored a spectacular goal. It was a spectacular achievement on their part. a spectacular display of fireworks
170,stunning,/ˈstʌnɪŋ/,extremely beautiful or attractive / shocking or very impressive,tuyệt đẹp / ngoạn mục / hết sức bất ngờ,,You look absolutely stunning! a stunning view of the lake He suffered a stunning defeat in the election.
171,attract,&nbsp;/əˈtrækt/,"to pull or draw someone or something towards them, by the qualities they have, especially good ones","thu hút, hấp dẫn, lôi cuốn",,I had always been attracted by the idea of working abroad. These flowers are brightly coloured in order to attract butterflies. I am attracted to Mary. She's just so beautiful!
172,damage,/ˈdæmɪdʒ/,to harm or spoil something,"làm hư hại, làm hỏng, làm tổn thương, gây thiệt hại, gây tổn hại",,The fire badly damaged the town hall. Several vehicles were damaged in the crash. Smoking seriously damages your health.
173,outweigh,/ˌaʊtˈweɪ/,to be greater or more important than something,"có nhiều tác dụng hơn, có nhiều giá trị hơn, có nhiều ảnh hưởng hơn",,The advantages far outweigh the disadvantages. The risks are vastly outweighed by the potential benefits.
174,bureaucrat,/ˈbjʊrəkræt/,"an official working in an organization or a government department, especially one who follows the rules of the department too strictly","quan lại, công chức, người quan liêu",,It turned out she was one of those faceless bureaucrats who control our lives
175,civil servant,/ˌsɪv.əl ˈsɝː.vənt/,người làm trong lĩnh vực hành chính công,,,He’s a 35-year-old civil servant with two young children.
176,community,/kəˈmjuːnəti/&nbsp;,"all the people who live in a particular area, country, etc. when talked about as a group",cộng đồng,,The local community was shocked by the murders. the international community (= the countries of the world as a group)
177,healthcare,/ˈhelθ.ker/,the service of providing medical care,dịch vụ chăm sóc sức khỏe,,the costs of health care for the elderly health care workers/professionals
178,mayor,&nbsp;/ˈmeɪər/,"the head of the government of a town or city, etc., elected by the public",thị trưởng,,The mayor has promised to cleanse the city of drug dealers . The mayor and the city council are anxious to avoid getting entangled in the controversy.
179,parliament,&nbsp;/ˈpɑːrləmənt/&nbsp;,the group of people who are elected to make and change the laws of a country,"quốc hội, nghị viện",,The German parliament is called the ‘Bundestag’. On Tuesday the country's parliament voted to establish its own army.
180,military service,/ˌmɪl.ɪ.ter.i ˈsɝː.vɪs/,a period during which young people train in the armed forces,"thời gian tại ngũ, thời gian trong quân đội",,to be called up for military service She has to do her military service.
181,notion,/ˈnoʊʃn/,"an idea, a belief or an understanding of something","ý&nbsp;niệm, khái niệm, ý kiến, quan điểm",,a political system based on the notions of equality and liberty She had only a vague notion of what might happen.
182,old-age pension,/ˌoʊld eɪdʒ ˈpen.ʃən/&nbsp;,"a regular income paid by the state to people above a particular age (tiền lương hưu, tiền trợ cấp hưu trí)",,,
183,safety net,/ˈseɪf.ti ˌnet/,an arrangement that helps to prevent disaster if something goes wrong,lưới an toàn (nghĩa bóng),,a financial safety net The welfare system was set up to provide a safety net for the poor.
184,social services,/ˌsoʊ.ʃəl ˈsɝː.vɪs/,a system that is organized by the local government to help people who have financial or family problems,dịch vụ xã hội,,a leaflet on the range of social services available the local social services department
185,unemployment benefit,/ʌn.ɪmˈplɔɪ.mənt ˌben.ə.fɪt/,money paid by the government to somebody who is unemployed,tiền trợ cấp thất nghiệp,,people on (= receiving) unemployment benefit Applications for unemployment benefits dropped last month.
186,leader of the opposition,,,lãnh đạo phe đối lập,,
187,lose control of,,,mất quyền kiểm soát,,
188,social welfare,/ˌsoʊ.ʃəl ˈwel.fer/,"services provided by the government or private organizations to help poor, ill, or old people",phúc lợi xã hội,,
189,miscalculate,/ˌmɪsˈkælkjuleɪt/,"to estimate an amount, a figure, a measurement, etc. wrongly","tính sai, tính nhầm",,They had seriously miscalculated the effect of inflation He had miscalculated how long the trip would take.
190,misinform,/ˌmɪsɪnˈfɔːrm/,to give somebody wrong information about something,báo tin tức sai,,"They were deliberately misinformed about their rights. I was told she would be at the meeting, but clearly I was misinformed. The parents had been misinformed about the incident."
191,misdiagnose,/mɪsˈdaɪəɡnoʊz/,to give an explanation of the nature of an illness or a problem that is not correct,"chấn đoán sai, phán đoán sai",,Her depression was misdiagnosed as stress.
192,mismanage,/ˌmɪsˈmænɪdʒ/,to deal with or manage something badly,"quản lý kém, xử lý kém",,The department’s budget was badly mismanaged. The restaurant was hopelessly mismanaged by a former rock musician with no business experience.
193,misunderstand,/ˌmɪsʌndərˈstænd/,to fail to understand somebody/something correctly,hiểu nhầm,,I completely misunderstood her intentions. Don't misunderstand me—I am grateful for all you've done. I thought he was her husband—I must have misunderstood.
194,misinterpret,&nbsp;/ˌmɪsɪnˈtɜːrprɪt/&nbsp;,to understand something/somebody wrongly,"hiểu sai, giải thích sai",,His comments were misinterpreted as a criticism of the project. She deliberately misinterpreted the question.
195,mislead,/ˌmɪsˈliːd/,to give somebody the wrong idea or impression and make them believe something that is not true,"cố tình lừa dối, tạo ấn tượng giả với ai đó",,He deliberately misled us about the nature of their relationship. Misleading the court in a trial is a serious offence.
196,misjudge,/ˌmɪsˈdʒʌdʒ/,to form an opinion or idea about someone or something that is unfair or wrong,đánh giá sai ai đó hoặc cái gì đó,,She now realizes that she misjudged him. It is difficult to understand how they could have misjudged the mood of the workforce so badly.
197,mistrust,/ˌmɪsˈtrʌst/,to have doubts about the honesty or abilities of someone,"không tin, nghi ngờ, ngờ vực, hồ nghi",,She mistrusts anyone in a position of authority. I've always mistrusted politicians.
198,subsidize,/ˈsʌbsɪdaɪz/,to give money to somebody or an organization to help pay for something,"trợ cấp, phụ cấp",,The housing projects are subsidized by the government. She's not prepared to subsidize his gambling any longer.
199,burrow,/ˈbɜːroʊ/,a hole or tunnel in the ground made by animals such as rabbits for them to live in,"hang (cầy, thỏ)",,
200,colony,&nbsp;/ˈkɑːləni/,a group of plants or animals that live together or grow in the same place,"động vật học) bầy, đàn, tập đoàn",,a colony of ants a bird colony
201,deforestation,&nbsp;/ˌdiːˌfɔːrɪˈsteɪʃn/,the act of cutting down or burning the trees in an area,sự phá rừng; sự phát quang,,land erosion caused by widespread deforestation
202,degradation,&nbsp;/ˌdeɡrəˈdeɪʃn/,the process in which the beauty or quality of nature is destroyed or spoiled,"sự suy biến, sự thoái hóa của tự nhiên",,
203,demise,&nbsp;/dɪˈmaɪz/,"the end of something that was previously considered to be powerful, such as a business, industry, or system","sự sụp đổ, suy vong, suy tàn",,The demise of the company was sudden and unexpected.
204,devastation,/ˌdevəˈsteɪʃn/&nbsp;,"great destruction or damage, especially over a wide area","sự tàn phá, sự phá huỷ, sự phá phách",,The bomb caused widespread devastation. The cost of the devastation could run to £6 million.
205,flooding,&nbsp;/ˈflʌdɪŋ/&nbsp;,large amounts of water covering an area that is usually dry; the fact of this happening,sự làm ngập lụt; sự úng lụt; nạn lụt,,There will be heavy rain with flooding in some areas. to cause/prevent flooding severe/widespread flooding
206,habitat,/ˈhæbɪtæt/,the place where a particular type of animal or plant is normally found,"môi trường sống, nơi sống (của cây cối động vật)",,The panda's natural habitat is the bamboo forest. The marshes provide a rich habitat for water plants. the destruction of wildlife habitat
207,harm,/hɑːrm/,damage or injury that is caused by a person or an event,"hại, tai hại, tổn hao, thiệt hại",,"He would never frighten anyone or cause them any harm. He may look fierce, but he means no harm. The court case will do serious harm to my business."
208,herd,&nbsp;/hɜːrd/,a large group of animals of the same type that live and feed together,"bầy, đàn",,a herd of cows/deer/elephants a beef/dairy herd
209,hive,&nbsp;/haɪv/,a structure made for bees to live in,"tổ ong, đõ ong",,studying the life of bees in the hive
210,lifespan,/ˈlaɪfspæn/&nbsp;,"the length of time that something is likely to live, continue or function",tuổi thọ,,Worms have a lifespan of a few months
211,pack,/pæk/&nbsp;,a group of animals that hunt together or are kept for hunting,"đàn, bầy (chó săn, chó sói... )",,packs of savage dogs wolves hunting in packs a pack of hounds
212,parasite,/ˈpærəsaɪt/,a small animal or plant that lives on or inside another animal or plant and gets its food from it,vật ký sinh / nghiã bóng: kẻ ăn bám,,"fleas, lice and other parasites an intestinal parasite of cattle"
213,prey,/preɪ/,"an animal, a bird, etc. that is hunted, killed and eaten by another",,,he lion will often stalk its prey for hours. birds of prey (= birds that kill for food)
214,rival,/ˈraɪvl/,"a person, company or thing that competes with another in sport, business, etc.","đối thủ, địch thủ, người kình địch, người cạnh tranh",,The two teams have always been rivals. The Japanese are our biggest economic rivals. This latest design has no rivals (= it is easily the best design available).
215,swarm,&nbsp;/swɔːrm/&nbsp;,"a large group of insects, especially bees, moving together in the same direction","đàn, đám, bầy",,a swarm of bees/locusts/flies Gnats came in swarms to torment them
216,threshold,/ˈθreʃhoʊld/,the level at which something starts to happen or have an effect,"ngưỡng, mức, điểm bắt đầu, ngưỡng cửa (cả nghĩa đen và nghĩa bóng)",,He has a low boredom threshold (= he gets bored easily). She felt as though she was on the threshold of a new life. My earnings are just above the tax threshold (= more than the amount at which you start paying tax).
217,appalling,/əˈpɔːlɪŋ/,shocking; extremely bad,"làm kinh hoảng, làm kinh sợ, làm kinh hãi, làm thất kinh; kinh khủng",,The prisoners were living in appalling conditions. It was one of the most appalling atrocities of the war. The regime has an appalling record on human rights.
218,aquatic,/əˈkwætɪk/,"growing or living in, on or near water","sống ở nước, mọc ở nước",,aquatic plants/life/ecosystems
219,hypocritical,&nbsp;/ˌhɪpəˈkrɪtɪkl/&nbsp;,pretending to have moral standards or opinions that you do not actually have,"đạo đức giả, giả nhân giả nghĩa; nói điều mà mình không thực sự tin",,It would be hypocritical of me to have a church wedding when I don't believe in God. Their accusations of corruption are hypocritical - they have been just as corrupt themselves.
220,impartial,/ɪmˈpɑːrʃl/,not supporting one person or group more than another,"công bằng, không thiên vị, vô tư",,"an impartial inquiry/observer to give impartial advice As chairman, I must remain impartial"
221,irresponsible,/ˌɪrɪˈspɑːnsəbl/,(of a person) not thinking enough about the effects of what they do; not showing a feeling of responsibility,"thiếu tinh thần trách nhiệm / không thận trọng, khinh suất",,an irresponsible teenager an irresponsible attitude It would be irresponsible to ignore the situation.
222,nocturnal,/nɑːkˈtɜːrnl/,(of animals) active at night,thuộc) đêm; về đêm,,These animals are strictly nocturnal. These insects are largely nocturnal.
223,outrageous,/aʊtˈreɪdʒəs/,very shocking and morally unacceptable,"quá chừng, quá quắt",,outrageous behaviour ‘That's outrageous!’ he protested.
224,risky,/ˈrɪski/,involving the possibility of something bad happening,"liều, mạo hiểm / đấy rủi ro, đầy mạo hiểm",,Life as an aid worker can be a risky business (= dangerous). a risky investment It's far too risky to generalize from one set of results.
225,venomous,/ˈvenəməs/,poisonous,có nọc độc,,a highly venomous snake
226,flourish,/ˈflɜːrɪʃ/,to grow or develop successfully (thrive),"hưng thịnh, thịnh vượng, phát đạt; thành công; phát triển, mọc sum sê (cây... )",,Few businesses are flourishing in the present economic climate. The arts began to flourish at that time. There was a flourishing black market.
227,forage,&nbsp;/ˈfɔːrɪdʒ/,"to go from place to place searching, especially for food","tìm kiếm, hái lượm thứ gì đó, đặc biệt là thức ăn",,The female only leaves the young when she forages for food. The pigs are allowed to forage around in a large orchard.
228,hibernate,/ˈhaɪbərneɪt/,(of animals) to spend the winter in a state like deep sleep,ngủ đông (động vật),,The turtle hibernates in a shallow burrow for six months of the year.
229,lay,/leɪ/,(of an animal or bird) to produce eggs from out of the body,đẻ trứng (chim,,Thousands of turtles drag themselves onto the beach and lay their eggs in the sand
230,poach,/poʊtʃ/,to catch and kill animals without permission on someone else's land,"săn trộm, câu trộm",,The farmer claimed that he shot the men because they were poaching on his land.
231,thrive,/θraɪv/,"to become, and continue to be, successful, strong, healthy, etc.","thịnh vượng, phát đạt / lớn nhanh, mau lớn, phát triển mạnh",,New businesses thrive in this area. These animals rarely thrive in captivity.
232,condensation,/ˌkɑːndenˈseɪʃn/,,"hơi nước ngưng tụ / sự ngưng tụ, ngưng đọng",,The window was steamed up with condensation. Not all roofing problems are caused by leaks; condensation may also be a problem.
233,debris,&nbsp;/dəˈbriː/&nbsp;,"pieces of wood, metal, brick, etc. that are left after something has been destroyed",vôi gạch đổ nát,,Emergency teams are still clearing the debris from the plane crash. Several people were injured by flying debris in the explosion.
234,eclipse,/ɪˈklɪps/,,"thiên thực (nhật thực, nguyệt thực",,an eclipse of the sun/moon a total/partial eclipse
235,evaporation,&nbsp;/ɪˌvæpəˈreɪʃn/,the process of a liquid changing or being changed into a gas,"sự làm bay hơi, sự bay hơi",,Heat and wind can cause evaporation. Snow cover prevents evaporation of water from the soil.
236,gravity,/ˈɡrævəti/,,"Vật lý) Sự hút, sự hấp dẫn; trọng lực; trọng lượng",,Newton’s law of gravity
237,harbour,/ˈhɑːrbər/,"an area of water on the coast, protected from the open sea by strong walls, where ships can shelter","bến tàu, cảng / (nghĩa bóng) : nơi an toàn; nơi ẩn náu",,Several boats lay at anchor in the harbour. to enter/leave harbour
238,astronomical,/ˌæstrəˈnɑːmɪkl/&nbsp;,"connected with astronomy (of an amount, a price, etc.) very large Vô cùng to lớn.","&nbsp;(thuộc) Thiên văn, (thuộc) thiên văn học.",,astronomical observations the astronomical price of land for building The figures are astronomical.
239,climatic,/klaɪˈmætɪk/,connected with the climate of a particular area,"Thuộc) Khí hậu, (thuộc) thời tiết",,climatic changes/conditions
240,fascinating,&nbsp;/ˈfæsɪneɪtɪŋ/,extremely interesting and attractive,"làm mê, làm say mê, quyến rũ",,a fascinating story/subject The results of the survey made fascinating reading. It's fascinating to see how different people approach the problem.
241,colossal,/kəˈlɑːsl/&nbsp;,extremely large,"khổng lồ, to lớn",,a colossal statue The singer earns a colossal amount of money. The variety of wines available is colossal. They have spent a colossal amount of money on construction.
242,immeasurable,/ɪˈmeʒərəbl/,"too large, great, etc. to be measured","vô hạn, mênh mông, không thể đo lường được",,to cause immeasurable harm Her contribution was of immeasurable importance.
243,imperceptible,/ˌɪmpərˈseptəbl/,very small and therefore unable to be seen or felt,"Không thể cảm thấy; không thể nhận thấy /&nbsp;Rất nhỏ, rất tinh tế",,imperceptible changes in temperature The differences were imperceptible to all but the most trained eye.
244,magnetic,/mæɡˈnetɪk/&nbsp;,,"thuộc) nam châm, có tính từ, (thuộc) từ",,magnetic materials The block becomes magnetic when the current is switched on.
245,minuscule,&nbsp;/ˈmɪnəskjuːl/,extremely small,"Nhỏ xíu, rất nhỏ",,"minuscule handwriting The newsroom was minuscule, not much more than a cubbyhole."
246,transient,&nbsp;/ˈtrænʃnt/,lasting for only a short time; temporary,"Ngắn ngủi, nhất thời, chóng tàn /&nbsp;Thoáng qua, nhanh, vội vàng",,A glass of whisky has only a transient warming effect. The city has a large transient population (= many people who are living in it only temporarily).
247,vast,/væst/,"extremely large in area, size, amount, etc.","Rộng lớn, mênh mông, bao la; to lớn ((nghĩa đen) &amp; (nghĩa bóng)",huge,a vast area of forest a vast crowd a vast amount of information
248,activate,&nbsp;/ˈæktɪveɪt/,to make something such as a device or chemical process start working,"hoạt hóa, làm hoạt động, kích hoạt",,The burglar alarm is activated by movement. The gene is activated by a specific protein.
249,burst,/bɜːrst/,"to break open or apart, especially because of pressure from inside; to make something break in this way","bùng nổ, nổ tung, vỡ tung / làm bủng nổ, làm vỡ tung",,That balloon will burst if you blow it up any more. The dam burst under the weight of water. Shells were bursting (= exploding) all around us.
250,collide,/kəˈlaɪd/,(especially of moving objects) to hit something violently,"va nhau, đụng nhau",,"The car and the van collided head-on in thick fog. Two trains collided head-on. The car collided head-on with the van. As he fell, his head collided with the table."
251,dilute,/daɪˈluːt/,"to make a liquid weaker by adding water or another liquid to it pha loãng, pha thêm nước, làm nhạt đi",,,The paint can be diluted with water to make a lighter shade. Dilute the juice (with water) before you drink it.
252,dissolve,&nbsp;/dɪˈzɑːlv/,(of a solid) to mix with a liquid and become part of it hoà tan; làm tan ra.,,,Salt dissolves in water. Heat gently until the sugar dissolves.
253,penetrate,/ˈpenətreɪt/,"to go into or through something Đâm thủng, xuyên qua; nhìn xuyên qua (màn đêm... )","Thâm nhập, lọt vào; nhìn xuyên qua.",,The knife had penetrated his chest. The sun's radiation penetrates the skin. The cold seemed to penetrate his bones. The war penetrates every area of the nation's life.
254,pierce,/pɪrs/,"to make a small hole in something, or to go through something, with a sharp object","Đâm, chọc, chích, xuyên (bằng gai, bằng ghim... ).",,The arrow pierced his shoulder. He pierced another hole in his belt with his knife.
255,reflect,&nbsp;/rɪˈflekt/,"to show the image of somebody/something on the surface of something such as a mirror, water or glass","Phản chiếu, phản xạ, dội lại",,His face was reflected in the mirror. She could see herself reflected in his eyes.
256,repel,&nbsp;/rɪˈpel/,"to drive, push or keep something away","đẩy, đẩy lùi, chống lại",,a cream that repels insects The fabric has been treated to repel water.
257,solidify,/səˈlɪdɪfaɪ/&nbsp;,"to change from being a liquid or gas to a solid form, or to make something do this","Đặc lại, rắn lại, đông đặc /&nbsp;Làm cho đặc lại, làm cho rắn lại; làm cho đông đặc",,Molten volcanic lava solidifies as it cools. The chemical reaction solidifies the resin.
258,cyberspace,&nbsp;/ˈsaɪbərspeɪs/,the internet considered as an imaginary area without limits where you can meet people and discover information about any subject,"thế giới mạng, không gian mạng",,You can find the answer to almost any question in cyberspace.
259,expense,/ɪkˈspens/,the money that you spend on something,Sự tiêu; phí tổn,,The garden was transformed at great expense. No expense was spared (= they spent as much money as was needed) to make the party a success.
260,fabric,/ˈfæbrɪk/,"cloth or material for making clothes, covering furniture, etc.",vải vóc,,cotton fabric furnishing fabrics
261,fibre,/ˈfaɪbər/,any of the thread-like parts that form plant or artificial material and can be made into cloth,"xơ, sợi, thớ",,The fibres are woven into fabric nylon and other man-made fibres
262,foam,/foʊm/,a soft material used to fill furniture and other objects,xốp,,a foam mattress foam packaging
263,log,&nbsp;/lɔːɡ/,a thick piece of wood that is cut from or has fallen from a tree,"Khúc gỗ mới đốn, khúc gỗ mới xẻ",,logs for the fire
264,marble,/ˈmɑːrbl/,a type of hard stone that is usually white and often has coloured lines in it.,"Đá hoa, cẩm thạch",,a slab/block of marble a marble floor/sculpture a statue of Cupid carved in black marble
265,patent,/ˈpætnt/,the official legal right to make or sell an invention for a particular number of years,"Bằng sáng chế, bản quyền sáng chế",,to apply for/obtain a patent on an invention The device was protected by patent.
266,pillar,&nbsp;/ˈpɪlər/&nbsp;,"a strong column made of stone, metal, or wood that supports part of a building","Cột, trụ",,Two white marble pillars stood on either side of the entrance.
267,plank,/plæŋk/,"a long narrow flat piece of wood that is used for making floors, etc.",Tấm ván gỗ,,a plank of wood a wooden plank
268,prop,/prɑːp/,"a piece of wood, metal, etc. used to support something or keep it in position","Cái chống, nạng chống",,Rescuers used props to stop the roof of the tunnel collapsing.
269,thread,&nbsp;/θred/,"a thin string of cotton, wool, silk, etc. used for sewing or making cloth","Chỉ, sợi chỉ, sợi dây",,a needle and thread a robe embroidered with gold thread the delicate threads of a spider’s web
270,timber,/ˈtɪmbər/,wood used for building,"gỗ làm nhà, cây gỗ",,houses built of timber a solid timber door
271,cutting-edge,&nbsp;/ˌkʌtɪŋ ˈedʒ/,"at the newest, most advanced stage in the development of something",tối tân,,cutting-edge technology/research/science/design
272,futuristic,&nbsp;/ˌfjuːtʃəˈrɪstɪk/,"extremely modern and unusual in appearance, as if belonging to a future time",,,futuristic design
273,demolish,/dɪˈmɑːlɪʃ/,to pull or knock down a building,Phá huỷ; đánh đổ,,The factory is due to be demolished next year.
274,dye,&nbsp;/daɪ/&nbsp;,"to change the colour of something, especially by using a special liquid or substance",nhuộm,,"She dyed her hair blonde. For a change, why not dye your T-shirts? dyed black hair"
275,innovative,&nbsp;/ˈɪnəveɪtɪv/,"introducing or using new ideas, ways of doing something, etc.",Có tính chất đổi mới; có tính chất là một sáng kiến.,,There will be a prize for the most innovative design.
276,revolve,/rɪˈvɔːlv/,to go in a circle around a central point,"Quay tròn, xoay quanh&nbsp;",,The fan revolved slowly. The earth revolves on its axis.
277,rotate,/ˈroʊteɪt/,to move or turn around a central fixed point; to make something do this,"Quay, xoay quanh",,Stay well away from the helicopter when its blades start to rotate. winds rotating around the eye of a hurricane Rotate the wheel through 180 degrees.
278,strike,/straɪk/,to hit somebody/something hard or with force,"Đánh, đập",,The ship struck a rock. The child ran into the road and was struck by a car.
279,archive,/ˈɑːrkaɪv/,"a collection of historical records relating to a place, organization, or family a place where historical records are kept","Tài liệu, tài liệu lưu trữ; lưu trữ; phòng lưu trữ",,the National Sound Archive archive film The BBC's archives are bulging with material.
280,acquisitiveness,/əˈkwɪzətɪvnəs/,eagerness to own and collect things,"Tính thích trữ của, tính hám lợi.",,"He was known for his acquisitiveness, buying any work of art that caught his eye."
281,stockpile,/ˈstɑːkpaɪl/,"a large amount of food, goods, or weapons that are kept ready for future use",Kho dự trữ,,They have a stockpile of weapons and ammunition that will last several months
282,supplies,/səˈplɑɪz/,food and other ordinary goods needed by people every day,nhu yếu phẩm hàng ngày,,"On their fourth day out, the climbers began to run low on supplies."
283,chic,&nbsp;/ʃiːk/&nbsp;,the quality of being fashionable and elegant,"Bảnh, diện sang trọng, lịch sự",&nbsp;stylishness,a perfectly dressed woman with an air of chic that was unmistakably French I like your haircut - it's very chic. a chic restaurant
284,drab,&nbsp;/dræb/,"dull and boring, especially in appearance; having little colour and excitement","Đều đều, buồn tẻ, xám xịt.",,"a cold drab little office drab women, dressed in browns and greys"
285,mundane,/mʌnˈdeɪn/,not interesting or exciting,"tầm thường, nhạt nhẽo; vô vị","dull, ordinary",a mundane task/job Mundane matters such as paying bills and shopping for food do not interest her.
286,sophisticated,&nbsp;/səˈfɪstɪkeɪtɪd/,"having a lot of experience of the world and knowing about fashion, culture and other things that people think are socially important","khôn ngoan, thông thái, thạo đời",,I don't think I have any books that would suit your sophisticated tastes. He was older than me and from London and I thought him very sophisticated.
287,must-have,/ˈmʌst.hæv/,something that many people want to own,thứ rất nhiều người muốn có,,The iPod quickly established itself as a must-have device
288,a passing trend,,"Something that used to be insanely popular for a while, and has kind of faded, or ""passed"" away.",Một mốt nhất thời nhưng giờ đã không còn ai nhớ đến nữa,,"For example backward caps were majorly popular in the late 90's and early 2000s, but now, almost no one wears their baseball cap backwards. Its faded and almost disappeared."
289,casual dress,,"clothes that are relaxed, occasional, not planned, or informal","trang phục thường ngày, không trang trọng",,
290,conspicuous consumption,,,,,cons_______us co_______ion
291,designer label,,"a famous company that makes expensive clothes, bags, etc. and that is a well-known brand",,,Our aim is to make this one of the world's great designer labels.
292,disposable income,/dɪˌspoʊ.zə.bəl ˈɪn.kʌm/,"the money that you can spend as you want and not the money that you spend on taxes, food, and other basic needs",Kinh tế học) Thu nhập khả dùng; thu nhập khả tiêu; Thu nhập khả dụng.,,
293,fashion accessory,,,phụ kiện thời trang,,
294,get rid of,,to remove or throw away something unwanted,tống khứ,,That cream got rid of my skin rash. I used weedkiller to get rid of the weeds in the garden.
295,vogue,/voʊɡ/,"to be in vo___e fashionable, especially if it is temporary",,,Black is in vogue again. Sixties music has come back into vogue.
296,abandon,&nbsp;/əˈbændən/,"to leave a place, thing, or person, usually for ever","từ bỏ; bỏ rơi, ruồng bỏ",,"We had to abandon the car. By the time the rebel troops arrived, the village had already been abandoned. As a baby he was abandoned by his mother. We were sinking fast, and the captain gave the order to abandon ship."
